;1.000
;-57.000
;-3.000
;-3.000
;-3.000
;10.000
;-1.000
;1.000
;1.000
;-5.000
;20.000
;-2.000
;1.000
;40.000
;2.000
;42.000
;40.000
;-1.000
;10.000
22004;-3.000
22139;-2.000
;10.000
;10.000
;10.000
;67.000
;5.000
;67.000
;2.000
;-1.000
;30.000
;3.000
;1.000
;2.000
25303;1.000
;1.000
25405;-1.000
;2.000
25408;9.000
25406;-17.000
;1.000
28011;35.000
28012;-1.000
;6.000
;-36.000
;-1.000
;-1.000
;-1.000
;-4.000
;-2.000
25302;4.000
;10.000
25308;4.000
25409;17.000
;10.000
;20.000
;10.000
;4.000
;7.000
;3.000
;10.000
25120;39.000
11700;7.000
44708;-100.000
44704;24.000
44705;-30.000
44701;18.000
44706;150.000
44702;20.000
44707;81.000
44703;23.000
26011;28.000
26014;14.000
26012;24.000
26015;14.000
26013;6.000
26016;-1.000
26006;1.000
26007;
26008;86.000
26009;10.000
26010;9.000
44401;32.000
44412;23.000
44403;7.000
44414;42.000
44410;8.000
44416;13.000
44418;5.000
44405;44.000
44307;14.000
44301;70.000
44309;10.000
44303;63.000
44305;99.000
44311;9.000
;36.000
;-10.000
11380;10.000
11397;-21.000
11398;24.000
;
11382;12.000
11386;2.000
11396;2.000
11394;-1.000
;-10.000
;3.000
34335;98.000
34304;7.000
34314;20.000
34329;18.000
34305;33.000
34336;28.000
49408;4.000
49401;4.000
49425;2.000
44402;9.000
44413;12.000
44404;40.000
44415;30.000
44411;-5.000
44417;27.000
34326;36.000
34327;18.000
34328;18.000
44302;66.000
44308;9.000
44304;24.000
44310;8.000
44312;5.000
34300;40.000
34318;29.000
34316;34.000
34340;40.000
34319;23.000
34320;29.000
34321;37.000
34301;25.000
34311;1.000
34324;25.000
34341;21.000
34322;25.000
34323;34.000
34325;40.000
34302;37.000
;15.000
;6.000
28201;1.000
28205;1.000
28203;1.000
28204;1.000
;1.000
28127;29.000
28130;12.000
;-4.000
28128;67.000
28129;38.000
28132;33.000
44406;110.000
;1.000
44407;140.000
;-5.000
46103;216.000
46104;157.000
;-9.000
46105;169.000
;200.000
46106;213.000
46107;102.000
46112;433.000
46108;135.000
46109;23.000
46110;40.000
46111;28.000
46101;207.000
;-140.000
46102;144.000
25804;12.000
25805;3.000
25806;1.000
25807;1.000
;11.000
;4.000
25704;-3.000
25703;-2.000
25705;17.000
41910;1 336.000
41901;243.000
44506;-2.000
44501;11.000
44507;56.000
44502;31.000
44508;51.000
44503;14.000
;1.000
;1.000
44509;23.000
44505;22.000
44510;-6.000
44504;10.000
44609;336.000
44601;25.000
44610;296.000
44602;21.000
44611;205.000
44603;39.000
44612;67.000
44604;21.000
44613;-149.000
44605;20.000
44614;604.000
44606;12.000
44615;478.000
44607;17.000
44616;466.000
44608;15.000
44617;12.000
28206;1.000
28208;4.000
;15.000
28216;15.000
28217;23.000
16002;120.000
16003;129.000
16001;96.000
16004;117.000
16056;56.000
16068;57.000
16014;59.000
16008;2.000
16009;19.000
16052;38.000
16010;22.000
16085;31.000
16011;31.000
16013;36.000
16086;26.000
16059;21.000
16082;16.000
16083;16.000
16015;48.000
16006;19.000
16005;42.000
16007;30.000
16018;-4.000
16048;22.000
16050;20.000
16049;18.000
16051;17.000
;8.000
;16.000
16016;37.000
16058;
;33.000
;13.000
16041;15.000
16043;2.000
;20.000
;-3.000
16120;14.000
16122;4.000
;-2.000
40101;7.875
;1.000
;-1.000
;-1.000
;1.000
11005;6.000
;1.000
;-2.000
;-1.000
11008;
11009;1.000
11010;-28.000
;-6.000
10957;-21.000
;-6.000
;-2.000
10847;-21.000
;-14.000
11011;-7.000
11190;-35.000
11191;-18.000
;-2.000
;-4.000
;-4.000
11093;3.000
11020;2.000
;1.000
11013;4.000
11014;1.000
11022;-1.000
11015;1.000
;-1.000
11016;2.000
11072;2.000
11066;1.000
;1.000
11017;2.000
11063;
;1.000
;1.000
11018;4.000
11060;1.000
11073;4.000
11019;
11070;2.000
28131;5.000
28003;47.000
28102;119.000
28106;38.000
28004;177.000
28006;95.000
28103;97.000
28107;119.000
;1.000
;1.000
;-3.000
;10.000
;6.000
38004;821.000
38001;2 515.000
38033;-375.000
38002;1 566.000
38003;626.000
38010;203.000
38011;-105.000
;15.000
38005;883.000
38012;523.000
38013;382.000
38006;-179.000
38008;-115.000
38014;92.000
38009;598.000
38015;81.000
38023;-223.000
38030;952.000
;30.000
38017;161.000
38020;915.000
38007;1 170.000
38026;60.000
38027;894.000
38028;453.000
38021;280.000
38032;438.000
38019;84.000
38031;598.000
38054;282.000
38022;91.000
38056;48.000
38024;104.000
38051;92.000
;
;1.000
;2.000
;1.000
;-1.000
11340;2.000
11326;1.000
11339;1.000
11343;1.000
;2.000
;-1.000
11471;5.000
11468;3.000
11472;5.000
11473;8.000
11474;4.000
11475;2.000
11476;5.000
11477;5.000
11478;6.000
11479;5.000
11480;6.000
11481;3.000
11482;4.000
;2.000
11929;1.000
11930;5.000
11934;1.000
11935;
11931;3.000
11936;3.000
11937;2.000
11932;4.000
11933;2.000
;1.000
;1.000
11240;3.000
11241;2.000
11242;5.000
11243;4.000
11244;3.000
11223;2.000
11239;3.000
11222;3.000
11151;44.000
11152;35.000
11153;30.000
11154;37.000
11155;24.000
11156;26.000
11157;17.000
11158;18.000
11150;28.000
11160;14.000
11161;14.000
